"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_131186T0",286,319,387,415,278,326,225,174,266
"PHYBL_131197T0",5315,6957,6612,7157,6667,6111,5713,5077,5886
"PHYBL_131201T0",3235,3357,3363,3384,2881,1862,1954,1442,1640
"PHYBL_131210T0",4356,4427,5099,3321,3219,1941,2861,2206,2274
"PHYBL_131217T0",7750,10134,9394,11622,9759,8752,6579,4675,6675
"PHYBL_131221T0",1918,2476,2264,2713,2183,2184,1651,1424,1959
"PHYBL_131254T0",4460,3968,5129,5043,3381,2649,3815,3433,3501
"PHYBL_131299T0",2789,3162,3634,5039,3040,3171,1883,1761,1668
"PHYBL_131334T0",449,545,586,620,450,527,361,352,378
"PHYBL_131340T0",6878,8571,9252,13512,12274,11967,11820,9661,10438
"PHYBL_131350T0",2902,2943,3064,3362,2668,2027,1473,1181,1656
"PHYBL_131404T0",10072,12994,10388,9407,8489,5327,5953,5612,5689
"PHYBL_131434T0",4235,4967,4739,4502,3888,3580,3175,2724,3086
"PHYBL_131460T0",867,1141,1257,1265,923,1061,579,751,735
"PHYBL_131463T0",1847,2199,2262,2612,1956,2320,1146,1207,1478
"PHYBL_131485T0",669,771,954,701,576,553,335,288,336
"PHYBL_131533T0",3863,4480,3803,5569,3767,3613,2619,2170,2527
"PHYBL_131569T0",22,24,36,31,25,17,12,3,3
"PHYBL_131597T0",767,908,1159,1933,1048,1095,609,556,606
"PHYBL_131600T0",244,339,367,387,258,286,189,185,218
"PHYBL_131624T0",86,89,94,171,121,95,28,28,42
"PHYBL_131629T0",451,613,781,696,546,530,375,402,364
"PHYBL_131647T0",383,468,519,1144,636,830,596,526,589
"PHYBL_131661T0",72,77,95,115,90,74,68,56,80
"PHYBL_131689T0",967,829,848,2564,1573,1613,1259,1028,1184
"PHYBL_131698T0",2914,3156,3594,9071,6072,4876,2878,2463,3091
"PHYBL_131703T0",2575,2902,2843,3341,2994,1948,1729,1193,1665
"PHYBL_131722T0",919,1157,837,914,843,657,389,263,398
"PHYBL_131731T0",1851,2338,2566,2714,1790,2529,909,866,1034
"PHYBL_131757T0",8961.44491925891,10157.9965581395,9884.95702808799,7815.41400226518,7573.90235027401,6254.89296675892,7605.89765238981,5842.68663846275,7851.72116176098
"PHYBL_131768T0",779,819,1188,2061,1282,1329,721,664,672
"PHYBL_131797T0",1128,1249,1674,2717,1836,1473,917,827,890
"PHYBL_131800T0",8095.7265440363,11549.5264626776,11381.8654751789,7384.51873723361,6649.91651214654,5552.49180400908,6621.14633662004,6352.53704859309,8076.97943868022
"PHYBL_131811T0",211,265,347,575,345,286,332,230,295
"PHYBL_131816T0",2780,3810,4075,4292,3763,3925,8189,9512,8885
"PHYBL_131846T0",741,850,1330,1332,781,864,1428,1472,1547
"PHYBL_131848T0",926,1013,1201,1167,855,866,511,399,582
"PHYBL_131857T0",13212,12231,14699,13752,7649,7146,20035,16407,20483
"PHYBL_131862T0",5743.23426203513,6986.97282477687,7384.91434769687,3887.96728648257,3945.65721986962,3387.14504990491,4362.77851299709,3611.94725666956,4488.97744464548
"PHYBL_131874T0",1096,1256,1419,1154,681,943,1243,1084,1266
"PHYBL_131879T0",5890.7522031355,6775.05264575314,7008.52735087129,5148.39505858162,4595.14436763506,4509.25065782428,4003.2548844094,3479.53911462123,3845.51572256723
"PHYBL_131886T0",6374,6107,4974,4305,3724,2163,1747,1504,1789
"PHYBL_131889T0",14435.2762237682,14782.0263034492,14459.1903126666,13145.3377808457,12573.3054198559,8202.55004811868,7618.46729729167,5173.32913817307,7296.61096447863
"PHYBL_131906T0",289,303,320,368,250,243,199,136,230
"PHYBL_131926T0",863,832,1034,1459,1320,862,990,751,840
"PHYBL_131929T0",6654,11147,10501,4314,3959,3083,6362,6854,5908
"PHYBL_131941T0",482,422,632,520,454,382,468,372,388
"PHYBL_131986T0",3207,4091,4245,3043,2587,1741,750,497,688
"PHYBL_131990T0",4071,5469,5588,2039,1749,1991,1344,1739,2307
"PHYBL_132021T0",681,658,882,2798,1701,1430,765,557,850
"PHYBL_132024T0",8813,12041,11615,15932,13385,15322,6411,4110,8283
"PHYBL_132047T0",60486,75764,68945.8324860137,40202,37862,32388,34657,29274.9362998573,38931
"PHYBL_132050T0",2822,3604,4047,3234,1992,1916,2859,2924,3380
"PHYBL_132057T0",2738,2941,3117,3154,2826,2296,1648,1391,1438
"PHYBL_132073T0",6472,6652,7869,12004,9274,5973,4363,3425,4198
"PHYBL_132081T0",1155,1306,1299,1430,965,751,530,458,530
"PHYBL_132087T0",77,87,105,145,97,130,59,47,58
"PHYBL_132090T0",431,567,623,1027,580,640,390,289,405
"PHYBL_132100T0",868,1543,1548,1736,1838,1931,1364,1727,1903
"PHYBL_132104T0",1548,1432,1251,1183,1241,582,501,312,520
"PHYBL_132117T0",4089,6049,7593,1840,1247,2135,1102,1581,2632
"PHYBL_132124T0",1186,1286,1315,1491,1027,931,607,406,609
"PHYBL_132146T0",1925,1772,1627,2460,2130,1124,1021,642,886
"PHYBL_132158T0",527,540,618,2298,1500,1647,757,441,679
"PHYBL_132201T0",319,337,391,311,280,280,287,239,291
"PHYBL_132203T0",2112,2290,2365,2800,1968,1667,1298,1115,1299
"PHYBL_132206T0",3410,3269,2649,3907,3817,2040,1849,1099,1778
"PHYBL_132208T0",3971,3631,3118,4515,3839,1924,2140,1489,1935
"PHYBL_132223T0",5337,4883,5184,5934,5812,3444,3557,2337,2524
"PHYBL_132231T0",999,1034,1285,1374,982,698,706,589,547
"PHYBL_132244T0",932,1069,1292,3402,2246,2449,1177,942,1230
"PHYBL_132256T0",6053,7686,6714,8456,6860,6613,2731,2157,3372
"PHYBL_132260T0",2641,3008,3280,4069,2161,2118,978,934,1030
"PHYBL_132281T0",1597,1615,1630,4481,3648,2770,1578,992,1874
"PHYBL_132288T0",6052.87602312407,6155.59165454049,5779.82916292574,4150.69398187087,4462.31181748366,3248.43584776384,3362.76513215078,2649.17670705214,3348.04431195958
"PHYBL_132299T0",3044,3518,3434.42980811674,3227,2847,2904,2178,1872,2494
"PHYBL_132307T0",259,399,408,530,359,521,294,424,422
"PHYBL_132318T0",2077,2605,2776,2212,1867,1869,701,710,826
"PHYBL_132323T0",628,619,751,954,818,541,479,294,428
"PHYBL_132328T0",3751,4142,5142,3069,2663,1842,2329,1868,2127
"PHYBL_132343T0",2681,2838,2775,4487,2840,2383,1643,1333,1587
"PHYBL_132365T0",11056,13481,15535,958,474,1025,63,45,131
"PHYBL_132383T0",208,282,311,276,236,255,209,140,150
"PHYBL_132390T0",6906,7167,5928,4254,4620,2759,2352,1412,2148
"PHYBL_132406T0",4330,5286,5683,3877,3454,3311,3153,2846,3421
"PHYBL_132408T0",11475.6541905917,12039.0085345181,14413.3174385289,9945.35844911711,9680.36129720368,6792.30737192877,5775,3894,4455
"PHYBL_132436T0",8381,11633,11737,7690,6216,4100,3549,3358,3728
"PHYBL_132442T0",886,954,984,648,600,555,697,598,690
"PHYBL_132467T0",2563,3445,3973,4650,3995,3178,3326,2845,2796
"PHYBL_132479T0",1722,2027,2198,3124,2525,2030,2073,1588,1765
"PHYBL_132485T0",253,290,293,758,440,339,199,212,214
"PHYBL_132488T0",34081.8001731844,39284.1218547924,37738.4057644095,24845.7784819488,27284.2389389791,20173.4622096886,22280.5475805513,15797.8818888104,23587.078575774
"PHYBL_132525T0",749,936,943,943,686,590,369,309,460
"PHYBL_132539T0",13835,16239,14972,13905,11350,11116,8636,8088,10961.7779044188
"PHYBL_132562T0",1429,1683,1601,1446,1144,1138,849,716,866
"PHYBL_132574T0",1336,1417,1424,1558,1329,836,549,388,555
"PHYBL_132587T0",1007,1313,1323,2330,1608,1547,732,523,872
"PHYBL_132601T0",3419,3903,3668,5598,3647,4323,1888,1457,2037
"PHYBL_132627T0",693,694,798,1081,783,738,565,476,576
"PHYBL_132644T0",4159,4782,4243,12034,9044,10736,6023,5802,8243
"PHYBL_132653T0",575,393,416,380,295,236,418,343,495
"PHYBL_132663T0",466,546,694,669,421,514,310,331,318
"PHYBL_132671T0",431,525,620,473,319,408,372,345,357
"PHYBL_132678T0",637,770,987,984,650,879,324,310,377
"PHYBL_132680T0",3298,3471,3007,4825,3564,3278,2789,2089,2699
