"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_80396T0",170.196244336277,196.69798357861,98.2093515136361,104.475582865145,98.7043398713803,100.598426841676,22.6235314340267,15.7572155697417,24.230194243412
"PHYBL_80409T0",13.272427786956,13.7321182425035,8.59974421223199,21.4569898665164,18.2178775439764,16.0174663036773,6.00835693678605,3.92536306885033,6.91486980313387
"PHYBL_80411T0",4.66127949749557,2.59986790520336,2.066719220155,2.82717277839198,3.07563225848879,4.29368640195592,0.969117275133393,0.950704788923857,0.748169749673373
"PHYBL_80421T0",6.09502367884379,8.75440473191992,4.62729548523955,7.5871047893661,6.40555961126575,8.69220258402231,2.08889115039466,1.79184541789526,2.97952662026017
"PHYBL_80449T0",7.03143928975349,8.51147437666653,4.76213665274019,8.58296257354137,6.98828283919463,10.6562382400732,3.25075851628799,3.10657754220765,4.01004742033257
"PHYBL_80483T0",9.14452048646092,16.207119804914,12.9401015958964,10.0500854086432,7.74528070923956,11.2014318085744,3.54488017540026,2.77716311626664,5.18818420039262
"PHYBL_80493T0",52.8961965920804,70.7576602465208,33.7206133857029,33.2560022223331,36.5445583380905,19.3374858633212,14.6347345657024,12.4879195600202,15.1024771092829
"PHYBL_80494T0",15.2247296876847,24.8470261348015,12.8283249662153,17.7633071116827,15.4601765982673,20.3504432049975,4.81834424666158,4.94443604693682,6.03395567072922
"PHYBL_80500T0",11.4471996998219,14.8504495480641,8.61277058336009,16.3112552272513,12.8900531700298,18.4274382002357,4.24114314456506,3.62074657018247,5.23800068688821
"PHYBL_80511T0",10.4097217358026,11.9769315948597,8.50838495550587,33.8068659537465,24.6760522551934,24.5562656872441,7.09248810133009,5.11052438435824,7.31496662247985
"PHYBL_80513T0",20.4917077923999,16.9242002557547,16.3914275312003,5.76021278008205,4.15944449686617,4.15065235814346,26.2214261244323,44.3952979382631,20.9628927024465
